Product,Pid,TotalSale,TotalComment,TotalRevenue,Net. (kg)
莱那珂荷兰原装进口婴儿1段奶粉 婴幼儿奶粉 进口奶粉,13139819068,0,0,0,0
为为网 亨氏 超金康儿高婴儿配方奶粉400g（0-12个月）,13371369179,0,0,0,0.4
圣元优博1段900g 婴儿配方奶粉,13652234255,18,1,4284,0.9
圣元原装进口优博1段900g 婴儿配方奶粉,13653689335,1,1,235,0.9
太子乐金装3段400g 幼儿配方奶粉 【3送1】【14年7月】,13655262726,223,23,9366,0.4
3袋送礼包快】雅士利奶粉a金装2段400g 袋装较大婴儿配方奶粉6-12,13652693707,111,12,6046,0.4
圣元原装进口优博2段900g 较大婴儿配方奶粉 【5送1】13年9月,13653773241,11,1,2619,0.9
太子乐金装3段900g 幼儿配方奶粉 【3送1】 【14年4月】,13656510663,0,0,0,0.9
圣元原装进口优博3段900g 幼儿配方奶粉【5送1】13年9月,13653106680,37,5,8599,0.9
买二送一 伊卡蓓尔牛奶粉 伊卡蓓尔新升级800g2段 官方授权,13481914644,12,0,2136,0.8
官方授权 倍滋曼超级呵护配方奶粉800克一段 问问有惊喜,13681405006,6,0,1188,0.8
【满200减20】伊利金装幼儿配方奶粉3段400克 步步益新配方,12718473587,162,24,7290,0.4
雅士利 能慧 3段 奶粉 900g听装 幼儿配方 1-3岁,13652809109,0,0,0,0.9
2罐送礼包快】雅士利奶粉a金装2段900g 较大婴儿配方奶粉,13651214148,19,1,3341.4,0.9
原装进口 雅培 金装小安素全营养幼儿配方粉 适合1岁以上挑食偏食,13152808816,347,81,30883,0
伊卡蓓尔 伊卡蓓尔奶粉一段800g 伊卡蓓尔配方奶粉一段800g,13481922287,4,1,712,0.8
官方直营伊利金装2段400g*4盒较大婴儿配方奶粉6-18个月正品推荐,13781510417,56,29,11630.08,0.4
官方直营伊利金装3段1-3岁婴幼儿奶粉900g*2听罐装热销疯抢,13781390662,44,17,12235.52,0.9
[送喂养娃]伊利金领冠2段较大婴儿配方婴幼儿宝宝奶粉900g*2罐装,13781653010,77,38,27917.12,0.9
【买5送1】澳优金装优选 健优婴儿奶粉2段(6-12个月)800g澳优,13768564795,0,0,0,0.8
亨氏欧洲原装超金康儿高配方奶粉1段一段婴儿奶粉 400g,12724065232,1,0,119,0.4
龙丹奶粉 慧婴宝婴儿配方奶粉 1段 听 900g,13651298611,3,0,804,0.9
【满两罐就减钱】澳优金装1段爱优婴幼儿童配方奶粉 进口奶源一段,13799503632,9,2,2051.1,0
伊利官方直营 金装4段儿童配方奶粉400g*4盒官方正品热销疯抢,13782465414,92,31,15544.32,0.4
亨氏奶粉欧洲进口超金学儿高配方3段奶粉 1-3岁婴幼儿奶粉 400g,12724157180,147,29,8733,0.4
【买二赠一】全场包邮龙丹奶粉 慧婴宝较大婴儿配方奶粉2段听900g,13651398396,6,1,1607.94,0.9
超值立减 纽贝斯特 纽贝斯特考拉瑞迪 考拉瑞迪奶粉一段900g,13913099044,16,1,5248,0.9
【满200减20】伊利金装4段儿童配方奶粉400克*4盒装 步步益+,13939244210,35,16,5600,0.4
【买一送一】澳优能力多1段幼儿童配方奶粉 澳大利亚原装进口一段,13799479715,7,0,2505.3,0
【官网积分防伪】HiPP喜宝益生元Combiotic奶粉1段800g,13487965507,14,8,4733.2,0.8
雅士利奶粉a金装1段900g听装 婴儿配方奶粉 0-6月适用 正品保证,13651677815,139,30,26608.8,0.9
NBST/纽贝斯特 金装牛 400g 二段,13937756284,0,0,0,0.4
伊利金领冠较大婴儿配方奶粉2段 400g 6-18个月 二段,13674451286,0,0,0,0.4
荷兰原装进口奶粉 爱荷美婴幼儿配方3段800g/盒 12个月以上,13992690391,64,10,20876,0.8
【满200减20】伊利金装儿童配方奶粉4段900g克*2 两听装,13993416372,10,2,2100,0.9
Abbott/雅培 金装智护100（幼儿喜康力）奶粉3段 1-3岁 400g盒装,14015530360,0,0,0,0.4
【满200减20】伊利金装较大婴儿及幼儿配方2段900g克*2听 步步益,13993264894,6,5,1536,0.9
Abbott/雅培 儿童喜康力 配方奶粉 400g 盒装,14048577083,0,0,0,0.4
龙丹奶粉 冠怡婴儿配方奶粉 1段 袋 400g,13651838314,4,0,392,0.4
格恩迪 荷兰原装进口奶粉 爱荷美婴幼儿配方1段800g/盒 0-6个月,13992394749,31,0,10108,0.8
纽贝斯特新西兰原装进口考拉瑞迪奶粉2段,14040467975,0,0,0,0
